"","stazione","GBEST","GBNORD","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","tot.precipitation.mm"
"28","Campagna Lupia - Valle Averto","1746123","5026591",42.9,54.7,62.7,69.4,88.5,65.6,61.4,70.5,91.9,82.1,89.1,57.2,836
"29","Campodarsego","1727659","5042149",52.1,61.8,61.6,86.8,115.5,73.4,85.9,79.5,87.2,96.6,105.1,68.2,973.7
"30","Cansiglio - Tramedere","1764069","5108350",113.9,102.1,127.6,174.2,216.9,170.7,156.7,169.8,172.5,216.3,291.3,168.5,2080.5
"31","Caprile","1729706","5147354",42.5,36.6,51.9,72.5,113.5,115.2,128.9,131.1,97.9,115.5,127.7,59.5,1092.8
"32","Caprino Veronese - Platano","1641525","5052119",54.8,73.9,61.6,75.9,136.4,86.9,108.9,97.8,94.7,113.8,115,62.3,1082
"33","Casamazzagno","1769316","5166067",48.3,39.6,54.4,76.2,115.6,121.8,138,144.2,103.4,102.8,112.6,63.3,1120.2
"34","Castana","1679369","5076164",93.9,92.7,111.1,157.3,198.4,125.5,119,135.9,153.6,220.8,278.7,138.2,1825.1
"35","Castelfranco Veneto","1729533","5064401",61.4,66.7,69.5,92.6,133.1,104.6,88.4,97,114.2,107.1,121.2,79.2,1135
"36","Castelnovo Bariano","1681407","4988995",39.9,42.5,41.5,59.8,83.4,63.8,43.8,68.2,61,75.8,77.8,55.6,713.1
"37","Castelnuovo del Garda","1638553","5035030",52.1,49.5,50.3,73,89.5,77.3,76.4,85.8,84.7,87.5,101.7,69.4,897.2
"38","Cavallino Treporti","1772599","5039846",46.9,57.1,61.9,72.6,93,61.4,63.8,69.9,95.1,88.6,98.1,65.9,874.3
"39","Cavarzere","1742665","5005550",37.3,46,52.2,61.8,77.5,62.6,53.4,62.2,75.5,89.2,80.6,51.9,750.2
"40","Chiampo","1679122","5045128",99.4,108.8,93.6,93.1,144.6,94.6,84.7,89.9,103.4,118.8,167.4,109.9,1308.2
"41","Chioggia - Sant'Anna","1757570","5004449",41.8,52.2,54,59,71.8,70.4,49.8,75.3,91.2,94,83.3,60.9,803.7
"42","Chioggia (centro)","1757802","5012448",48.4,27.7,43.2,63.9,109.2,41.9,56.4,81.5,75.4,57.8,61.2,55.6,722.2
"43","Cittadella","1711319","5061133",64.1,69.3,70.5,98.2,128.1,94.5,91.1,94.6,108.9,107.8,126.9,80.9,1134.9
"44","Codevigo - Ca' di Mezzo","1746929","5012991",40.4,46.5,53.4,61,83.5,66.8,54.2,62.5,78.6,87.9,82.6,53.6,771
"45","Codevigo","1743297","5014716",42.8,52,58.1,67.3,88.6,63.5,63.2,62.4,81.8,86.8,83.6,58.7,808.8
"46","Col di Pra'","1725606","5131117",78.4,73.6,90.6,122.2,192.4,118.9,126.3,152.8,129.9,205.9,258,121.8,1670.8
"47","Col Indes (Tambre)","1765830","5113061",95,84,109.8,161,213.3,177.4,161.3,175.1,169.9,199.8,258.2,143.7,1948.5
"48","Colognola ai Colli","1673957","5032591",50.3,64.1,56.6,65.6,112.4,62,70.9,69.8,71.8,83.2,93.4,63.8,863.9
"49","Concadirame (Rovigo)","1714125","4996919",35.9,42.9,46.1,62.3,75.6,62.4,50.3,53,61.9,77.8,71.3,47.7,687.2
"50","Conegliano","1754728","5086125",71.3,68.5,74.1,106.6,137.6,112.1,98.1,115.7,120.6,115.1,140.1,88.1,1247.9
"51","Contra' Doppio (Posina)","1672922","5075033",99.4,102.6,119.1,173.8,214,149.4,120.8,139.9,146.2,222.2,297.1,133.3,1917.8
"52","Cordevole di Visdende a Cima Canale","1778097","5167374",44.2,36.7,55.6,81.5,135.7,136.5,158.8,155.8,108.1,119.4,131.1,65.1,1228.5
"53","Cortina d'Ampezzo - Gilardon","1739833","5158457",49.2,41.7,56.7,73,121.1,114.4,131.3,143,104.7,110.7,131.2,62.5,1139.5
"54","Costalta","1773984","5164594",48.6,40.4,54.1,80.2,130.2,128.9,149.8,155.3,109.4,119.4,124.4,68.5,1209.2
"55","Crespadoro","1672230","5054913",95.8,107.2,108.5,153.9,184.1,124.2,101.3,121,140.5,169.6,220.5,131.8,1658.4
"56","Crespano del Grappa","1720613","5080407",83.2,94.6,101.3,130,192.7,143.4,110.6,167.7,151.4,161.1,197.2,123.5,1656.7
"57","Crosara (Marostica)","1703528","5072332",77.7,97.5,74.8,107.5,248.5,97.9,150.9,134.5,118.4,136.8,125.8,85.1,1455.4
"58","Dolce'","1644210","5051241",58.3,57.1,57.4,83.4,120.9,92.6,102,97.5,105.5,108.6,122.3,74.3,1079.9
"59","Domegge di Cadore","1761891","5150944",50.5,44.6,59.2,83.9,119.9,117.7,134.7,140.3,108.9,125.8,128,68.8,1182.3
"60","Eraclea - Torre di Fine","1795835","5053926",74.4,94.8,73.7,75.8,201,45.4,62.5,71.9,111.5,157.4,61,47.7,1077.1
"61","Eraclea","1789119","5056667",53.4,58.4,62.2,75.7,89.3,69.3,54.4,84.5,99.6,82.1,103,70.7,902.6
"62","Este - Calaone","1708384","5013285",44.5,61.5,59.6,81,84.3,76.1,53.1,54.3,71.2,81.6,81.3,57.5,806
"63","Faedo (Cinto Euganeo)","1711521","5020363",55.1,67.6,77.5,94.8,109.2,73.2,64.4,71.1,85.2,101.1,112.4,76.6,988.2
"64","Falcade","1720787","5137567",53.4,51.1,67.7,98.9,136.3,129,144.5,147.6,98.8,124.4,145.5,70.9,1268.1
"65","Faloria","1743531","5157576",33.9,29.2,45.1,70.2,130.8,134.3,150.5,156.4,117.2,117,120.8,54.7,1160.1
"66","Farra di Soligo","1740836","5087883",82.5,85,90.5,134,169.1,131.4,113.5,146.7,149.4,144.2,180.7,111.5,1538.5
"67","Favaro Veneto","1756088","5045671",55.6,70.2,84,64.1,114.8,76.9,72.8,74.9,76.6,80.3,99.9,61.6,931.7
"68","Feltre","1724099","5099945",77.3,87,101.2,128.8,161.8,123.7,117,131.3,138,188.1,246.5,120.2,1620.9
"69","Fener","1728616","5087022",86.7,112.8,86.2,94.2,232.6,123,114.6,127.8,159.6,166.2,153.5,67.9,1525.1
"70","Follina antincendio","1741573","5094022",95.8,71.9,112.2,149,160.7,112.2,113.4,133.7,160.1,180.7,207.8,121.7,1619.2
"71","Follina","1741932","5094402",77.1,110.7,99.7,163.2,233.4,162.3,135.7,137.3,154.2,175.6,192.5,127,1768.7
"72","Forno di Zoldo - Campo","1745068","5137519",61.5,59.6,75.5,110.3,152.3,118.3,135.5,141.6,125.9,158.9,193.9,91.6,1424.9
"73","Fortogna (Longarone)","1753736","5125075",87.6,94.4,81.4,106.3,200.6,116.7,161.8,131.6,161.2,195.4,106.9,85.2,1529.1
"74","Fossalta di Portogruaro","1802759","5076523",71.1,65.4,74.2,86.3,111.7,82.6,75.9,93.5,122.3,103.9,129.9,87.1,1103.9
"75","Frassinelle Polesine","1711183","4985415",39.3,41.9,43.6,51.9,70.8,53.7,44,53,61.7,73.7,71,49.1,653.7
"76","Gaiarine","1771060","5088027",72.1,69.3,80.4,106.8,131.4,103.9,95,106.5,120.3,117.5,140.2,92.1,1235.5
"77","Gallio","1698124","5083931",57.8,52.8,65.3,107.5,194.4,152.7,138.2,139.6,119,151.1,194.2,89.8,1462.4
"78","Galzignano - Ca' Demia","1715069","5019992",54.6,75.7,77.8,78.5,105.6,63.5,63.3,72.5,79.6,94.4,104.9,68.6,939
"79","Gares","1721980","5132902",66,66,85.1,120.2,163.4,134.5,146.6,157.4,135.9,165.2,182.3,82.4,1505
"80","Grantorto","1714687","5052726",60.5,63.7,62.6,86.3,118.8,76.4,85,87.8,92,101.5,114.7,79.3,1028.6
"81","Grezzana","1657310","5041574",51.6,47,46.2,72.4,106.1,85.7,83.7,93.9,97.2,91.9,100.1,67.9,943.7
"82","Grumolo delle Abbadesse","1707322","5043799",56.7,60,58.4,71,136.4,57.5,76.2,72.8,106.7,107.4,104.4,78.9,986.4
"83","Gua' a Cologna Veneta","1686828","5020897",38.3,48.7,46.6,64.6,82.3,52.6,46.7,57.7,68.5,73.3,75.3,53.8,708.4
"84","Gua' a Ponte Gua'","1686915","5040431",63.3,88.8,75.7,77.6,106.7,71.1,62.4,72.4,83.4,101.7,123,88.5,1014.6
"85","Illasi","1669805","5036401",51.3,57.5,54.3,74.9,108.9,83.9,79.2,76.6,94.7,89.2,103.3,72.6,946.4
"86","Isola Vicentina","1691402","5054849",83.1,100.8,67.1,77.9,201,64.7,79.4,104.7,84.1,138.4,120.7,73.8,1195.7
"87","Jesolo - Cortellazzo","1785699","5049016",67.3,23.9,54,73.9,136.4,35.7,56.7,72.3,74.9,89.4,86.7,77.8,849
"88","La Guarda (Cesiomaggiore)","1727514","5112540",71.5,90.3,88.2,110.2,255.9,131.2,178.6,125.7,129.4,205.6,121.6,72.1,1580.3
"89","La Secca","1756367","5113855",57,53.6,62.8,95.7,140.5,125,116.4,124.2,129.7,139.2,163.8,86,1293.9
"90","Lamon - Sala","1712502","5103278",64.3,64.5,78.2,110,153.7,125.9,119.8,133.1,118.4,143.3,170.3,91.3,1372.8
"91","Legnaro","1731086","5025754",43.7,48.7,54,72.2,94.1,68.2,71.6,65,79.2,83.8,86.8,60.2,827.5
"92","Longarone","1754615","5128434",67.6,63.9,84.9,115.9,159.2,134.9,150,146.3,134.5,171.3,173.5,99.7,1501.7
"93","Lonigo","1686303","5029102",44.8,50.3,50.8,71.4,93.1,72.8,59.8,65.8,81.6,83.3,85.1,61.9,820.7
"94","Lugugnana (Portogruaro)","1807248","5068864",60.3,63.3,67.6,80.4,86.5,73.6,63.5,85,113.9,94.8,111.5,77.8,978.2
"95","Lusia","1707266","4996612",40.6,43.6,49.4,63.7,79,56.3,51.4,49.9,62.1,78,72.2,51,697.2
"96","Lusiana","1701210","5073345",74.6,75.8,87.9,124.1,179.7,128.5,119.2,150.3,147.9,148.9,182.4,102.5,1521.8
"97","Malga Campobon (San Pietro di Cadore)","1775801","5172010",-6,-5.8,-4.2,-1.3,3.2,7,8.9,9.1,5.4,2.5,-1.8,-4.9,12.1
"98","Malga Ciapela","1723206","5145802",50.1,46.1,66.4,90,143.5,138.7,158,155.9,115,137.7,150.9,66.2,1318.5
"99","Malo","1691985","5060283",79,83.7,82.2,107.7,151.2,99,101.3,119.2,114.8,126.5,157.8,104.6,1327
"100","Marano di Valpolicella","1650162","5045637",54.7,50.1,50.8,79.4,103.5,81.2,87.1,98.7,96.1,95.3,104,70.2,971.1
"101","Marcon loc. Zuccarello","1763791","5048225",59.7,39,66.3,55.9,147.9,70.5,53.8,58.2,67.1,72.1,81.7,66.3,838.5
"102","Marmolada - Punta Rocca","1719960","5146229",-14.3,-14.2,-12.8,-10.2,-5.8,-1.6,0.7,0.8,-2.6,-5.4,-10,-12.8,-88.2
"103","Maser","1728768","5073718",61,63.5,69.4,99.5,132.7,109.8,91.2,121.7,122.9,109.8,127,80.9,1189.4
"104","Masi","1695161","4999004",42.8,50.2,48.3,64,86,62,51.2,58.9,66.8,83.8,76.4,57.2,747.6
"105","Mira","1743806","5036506",45.8,50.7,57.5,73.7,98.4,74.3,86.6,75,84,85.4,84.6,61.7,877.7
"106","Misurina","1749057","5163251",38,31.3,48.1,72,136.2,152.4,167.9,167.8,115.4,113,109.5,50.6,1202.2
"107","Mogliano Veneto","1758086","5052812",52,61,66.6,77.6,106.6,74.3,72.6,73.4,99.2,87.7,105.1,67.2,943.3
"108","Molini (Laghi)","1675242","5078025",92.8,99.3,116.9,160.6,204.6,137.1,123.7,143.1,148.7,207.8,269.5,129.1,1833.2
"109","Montagnana","1690158","5013351",40.8,50.2,47.7,74.3,86.6,62.4,55.8,65,85.7,80.9,79.3,61.5,790.2
"110","Monte Avena","1718812","5101524",61,53.9,74,119.9,188.4,147.3,131.6,144.3,146.1,170.1,190,83.6,1510.2
"111","Monte Cesen","1734165","5092424",-3.7,-3.6,-1.6,1.3,5.4,9.5,11.4,11.6,7.7,4.6,0.4,-2.5,40.5
"112","Monte Grande (Teolo)","1709358","5026653",1.4,2.3,5.1,8.4,12.5,16.6,18.5,18.5,14.6,10.9,6.1,2.4,117.3
"113","Monte Summano","1687851","5069238",80.3,82.6,99.8,136.4,176.2,120.3,131.6,141.7,140.8,166.3,194.6,107.9,1578.5
"114","Monte Verena","1687174","5089191",-6.1,-6,-4.3,-1,2.7,7.3,9.3,9.4,5.8,2.8,-1.4,-4.5,14
"115","Montebelluna loc. Contea","1733727","5073077",87.4,74,54.8,75.9,170.8,100.5,84.2,102.4,111,112.4,102.2,71.6,1147.2
"116","Montecchia di Crosara","1678544","5037577",61,72.3,68.3,89,100.2,85,76.4,77.1,93.8,95.9,110,79.1,1008.1
"117","Montecchio Precalcino","1698514","5059321",76.2,78.3,81.9,108.5,143.5,87.3,97.2,109.1,121.8,120.3,147.6,99.1,1270.8
"118","Montegalda","1708188","5036362",57.9,64,61.1,88.5,102.5,64.4,72.7,79.9,88.5,100.3,101.5,75.7,957
"119","Monticano a Fontanelle","1767169","5081710",63.2,58.8,65.6,87.6,121.8,90.7,76.6,89.3,109.5,101.3,115.7,78.4,1058.5
"120","Monticano a Gorgo al Monticano","1775115","5076356",57.6,55.6,60.3,81.5,115.9,81.5,74.6,85,103.4,80.8,105.6,69.7,971.5
"121","Muson dei Sassi a Castelfranco Veneto","1727493","5061536",57.9,67.3,74,89.3,125.1,96.1,80.9,86.2,104.8,104.9,115.2,73,1074.7
"122","Muson dei Sassi ad Asolo","1725032","5074343",48.6,75.5,63.6,90.8,154.3,111.6,91.4,122.2,117.4,103.7,118.1,55.4,1152.6
"123","Nervesa della Battaglia","1748767","5078707",90.2,68.2,63.5,85.3,203.6,90.4,103.4,77.4,148.7,115.2,101,68.6,1215.5
"124","Nogarolo di Tarzo","1751439","5097704",84.3,109.2,104,124.1,200.9,143.7,112.6,123.1,119.5,147.4,197.7,122.3,1588.8
"125","Noventa di Piave - Grassaga","1779549","5063494",56.3,61,66.1,85.1,100.3,80.5,60.3,85.2,119.5,86.5,113.3,73.9,988
"126","Oderzo","1774069","5074080",61.8,61.4,66.5,90.5,120.2,87.7,75.7,85.1,111.7,94.5,113,79.4,1047.5
"127","Ospedaletto Euganeo","1704622","5012334",25.8,47.4,42.3,41.1,95.1,47.2,69.9,56.8,62.9,68.7,79,53.8,690
"128","Padova","1727642","5032075",49.8,66.1,70.3,77.1,112.1,69.9,74.2,72.9,87.8,91,100.1,60.8,932.1
"129","Passo Falzarego nivo (Q1988)","1732284","5156324",43.3,40,50,77.5,129.8,130.1,143.9,152.8,107.3,114.3,116.9,53.7,1159.6
"130","Passo Falzarego","1730665","5156102",44.7,38.5,53.1,79.3,139.4,143.6,157.2,163.2,116.9,120.4,131.5,58.2,1246
"131","Passo Monte Croce Comelico","1762015","5172231",53,41.8,56.5,80.8,132.7,144.5,163.3,163.7,130.3,137.2,131.6,62.6,1298
"132","Passo Pordoi","1716666","5151658",28.5,25.3,36.4,61.8,114.5,136,159.7,165.5,103.8,100.1,80.3,37,1048.9
"133","Passo Santa Caterina (Valdagno)","1676150","5054313",86.7,93.5,96.8,144.4,194.6,131.6,102,117.6,145.9,161.9,215.4,117.4,1607.8
"134","Passo Valles","1715631","5135568",48.1,39.4,61.8,92.2,148.8,140.7,157.7,162.5,125.3,141.8,139,61.9,1319.2
"135","Passo Xomo (Posina)","1673988","5071814",92,104.2,122.1,182.6,233.2,154.1,137.4,158.6,166.6,234.4,309.7,131.7,2026.6
"136","Perarolo","1758079","5143342",60.2,59.9,69.7,82.1,121.2,105.8,126.6,137.3,102.8,141.1,138.6,90.2,1235.5
"137","Peschiera - Dolci","1632016","5031489",64.9,55.2,29.9,69.2,122.1,69.3,104.8,78.6,67.5,107.4,90.2,67.8,926.9
"138","Pescul","1735786","5147226",50.3,54.4,68.7,97.2,152.9,129.8,140,148.5,109.4,143.2,170.4,74.3,1339.1
"139","Pettorazza Grimani loc. Botti Barbarighe","1737920","5000351",43.2,27.2,40.1,59.8,119.9,34.3,48.3,66.8,55,64.3,65,49.3,673.2
"140","Pian del Crep (Val di Zoldo)","1737890","5140871",64.4,52.4,74.1,100.1,150.1,145.7,155.3,159.4,136.8,160.3,165,78.8,1442.4
"141","Piana di Marcesina - Rendole","1702486","5091759",77.8,76.7,99.8,136.1,190.8,151.8,147.2,147.5,151.5,199.7,228.6,107.1,1714.6
"142","Pila - Porto Peschereccio (Porto Tolle)","1774382","4986425",72.6,56.2,91.6,61.8,129.9,49.9,55.9,114.7,95.1,161.6,61.5,89.1,1039.9
"143","Podestagno (Cortina d'Ampezzo)","1738424","5164737",57.7,41.5,69.9,94.2,134.3,129.1,145.7,155.7,115.5,133.2,150.8,76.5,1304.1
"144","Ponte di Piave","1774281","5068682",61.3,64.5,69.9,86.9,115.4,87.9,66.9,93.7,115.6,96.3,116.2,78.9,1053.5
"145","Ponte Rio Cordon (Selva di Cadore)","1737794","5148836",58.7,66.4,74.9,97.2,167.3,142.7,164.2,151.1,124.3,145.6,145.4,77.6,1415.4
"146","Porto Tolle - Pradon","1765951","4979312",39.4,46.8,46.8,53.4,65.4,61.3,45.6,60.1,87.2,78,72.8,57,713.8
"147","Portogruaro - Lison","1792602","5072675",62.1,66.9,69.7,89.5,104.4,89.9,74.2,90.2,118,98.1,115.9,78.6,1057.5
"148","Pove del Grappa - Costalunga","1712943","5076136",72.4,72.6,85.5,115.4,155.4,106.1,85.9,125.8,118.3,134.4,170.7,101.5,1344
"149","Quero","1727966","5089998",83.8,95.3,97.2,116.3,176.5,135.4,110.7,138.3,131.1,162.4,204.2,112.8,1564
"150","Quinto Vicentino","1705276","5049568",68.2,74.8,65.2,104.3,108.2,77.5,82.6,80.1,111.5,108.4,128.8,87.4,1097
"151","Recoaro Mille","1673345","5060968",129.9,136.4,137.8,201.6,225.5,145.7,119.5,157.2,177.9,224.6,306.5,168,2130.6
"152","Retrone a Vicenza S.Agostino","1696932","5044442",76.4,105.4,86.1,95.3,121.2,65.8,66.5,69.4,87.1,115.8,146.4,98.2,1133.6
"153","Rifugio la Guardia (Recoaro Terme)","1669786","5065151",130.9,139.3,150.4,213.1,249.4,168.7,124.6,171,203.2,266.9,336.1,175.9,2329.5
"154","Rifugio Son Forca (rio Gere)","1744236","5162099",28.7,31.7,41.6,80.1,158.8,139.4,200.5,206.4,93.2,130.9,76,54.4,1241.7
"155","Rio Chiesa Alto (Livinallongo)","1727457","5152723",-6.6,-5.3,-4.1,-1.3,2.2,7.7,8.9,8.9,5.5,2.7,-1.8,-5.1,11.7
"156","Roncade","1764673","5059839",57.8,62.5,65.6,84.6,112.5,83.5,71.2,83,105.7,89.2,109.6,76.8,1002
"157","Roncadin (Chies d'Alpago)","1762997","5120910",79.4,73.3,96.5,166.5,214.9,182.8,180.6,183.8,186.6,207,212.8,102.2,1886.4
"158","Rosa'","1716095","5066330",66.8,69.2,72.3,99.9,139.6,111.4,91.4,108.3,124.7,112.8,138.4,89.9,1224.7
"159","Rosolina - Po di Tramontana","1756791","4996051",39.2,48.6,48.7,55.9,73.9,62,48.3,66.5,78.1,83.5,74.6,55.3,734.6
"160","Roverchiara","1676635","5014964",37.8,42.2,41.9,67.4,91.6,70.7,52.7,63.8,81.9,80.2,79.2,53.3,762.7
"161","Rovina di Cancia (Borca di Cadore Q1373)","1749124","5147757",-4.7,-3.9,-1.6,1.6,5.6,9.6,11.1,11.2,7.7,4.4,0,-3.4,37.6
"162","Salizzole","1665612","5010656",44.2,48.1,48.4,72,85.5,68.3,53.6,68.6,81.7,82.2,85.4,58.3,796.3
"163","San Bellino","1702997","4989700",37.3,44.9,47.6,58.7,77,55.4,42,54,64.3,79.4,72.5,50.1,683.2
"164","San Bortolo","1670124","5052891",86.9,83.9,90.9,142.2,187.8,120.5,105.8,114.5,134.5,151.2,217.5,112.1,1547.8
"165","San Giovanni Ilarione","1673701","5046294",82.9,86.7,84.6,120,151.3,95.9,91.3,99.9,116.3,132.9,170.3,99.4,1331.5
"166","San Martino d'Alpago","1762192","5119729",79,70.7,88.5,133.3,188.7,171.1,161.8,170.8,166.2,175.7,187.1,104.6,1697.5
"167","San Pietro in Cariano","1647513","5041286",46.4,44.3,44.2,71.5,94.2,76.9,78.9,93.8,87.6,90.2,97.1,62.9,888
"168","Sant'Andrea (Gosaldo)","1728100","5123840",80.3,78,94.7,139.2,186.7,160.9,160.8,168.5,149,195.6,234.8,116.3,1764.8
"169","Sant'Antonio Tortal","1744072","5104281",92.5,91.1,109.1,139.5,183.2,147.1,128.2,144,155.8,185.3,242,138.7,1756.5
"170","Sant'Apollinare (Rovigo)","1722631","4990567",35.9,45.8,49.5,61.1,77.4,56,49.5,49.6,63.2,78.4,73.8,45.5,685.7
"171","Sant'Elena","1711683","5008332",33.1,59.9,41.6,70.2,99.1,53.1,75.3,44,67,71.1,74.1,45.8,734.3
"172","Santa Giustina Bellunese","1737599","5107373",84.2,92.4,97.9,110.8,166.8,121.4,139.6,132.9,133.4,151.9,182.8,114.4,1528.5
"173","Santo Stefano di Cadore","1772328","5162116",47.1,41.2,55.6,81.2,124.5,127.8,144.3,147.3,114.7,125.1,128.2,69.4,1206.4
"174","Sappada","1784183","5164164",59.6,53.7,66.6,108.3,173.7,164.3,165.7,180.2,137.1,182.2,196.3,89.3,1577
"175","Sella Ciampigotto","1775148","5154417",50.5,47.5,67.3,88.1,173.6,161.2,169.9,185,139.3,156.3,145.1,73.1,1456.9
"176","Soffranco","1749859","5130094",80.6,80.7,88.5,127,177.6,144.8,152.4,160.2,155.4,228.3,265.7,118.8,1780
"177","Solagna Villaggio del sole","1711966","5079928",79.8,85.9,113,143.4,193.4,136.8,117.1,153.7,139.3,171,232.3,109.3,1675
"178","Sorga'","1657714","5009099",42.1,47.6,45,66.4,83,68.8,52.7,61.8,81.4,80.9,82.3,56.4,768.4
"179","Sospirolo","1737557","5114295",80.6,78.8,95.9,135.3,176.1,156,148.2,142,155.6,177.9,199.6,109.4,1655.4
"180","Staro (Valli del Pasubio)","1673269","5066006",99.1,145.6,121.6,126.4,295.4,143.2,110.2,152.1,164,263.8,163.8,94,1879.2
"181","Stra","1734736","5032716",54.6,36,42.4,69.8,144.2,46.3,72.1,66.4,59,85.8,74.4,55.6,806.6
"182","Teolo","1709767","5024532",51.1,63.7,66.4,92.6,106.4,74.7,72.4,69.3,87.3,101.4,106.7,73.8,965.8
"183","Tonezza del Cimone","1681310","5081954",63.8,86.6,85.4,94.2,303.2,146.8,164.8,125.8,144.3,248.5,152.2,70.9,1686.5
"184","Torch","1759719","5116409",76.1,63.4,81.2,110.6,152.1,146.1,136.6,147.1,137.6,152,180.8,101.2,1484.8
"185","Trebaseleghe","1735991","5054349",56.2,57.1,63.1,81.3,115.1,87.8,83.6,86.1,94.4,94,107.4,73.6,999.7
"186","Trecenta","1691214","4988242",39.5,45.4,47.6,57.7,79.2,58.4,43.4,55.9,61.2,75.2,72.8,56.6,692.9
"187","Treviso","1750910","5063669",61.9,77.5,74.5,86.8,134.2,87.7,80.8,95.2,122.7,95.1,127.3,78.9,1122.6
"188","Tribano","1723829","5007659",39.9,47.5,53.3,68.4,74,62.2,56.2,52.6,61.8,76.4,77.6,53.4,723.3
"189","Trissino","1683984","5050025",87.1,88.2,89.6,109,137.2,97.1,84.4,97.3,113.6,126.2,165.4,112.8,1307.9
"190","Turcati (Recoaro Terme)","1670124","5063510",130.7,143.9,145,213.1,235.1,158.3,116.3,160.8,196,246.4,341.8,186.3,2273.7
"191","Valdagno","1679975","5055697",100.6,108.2,105.7,143.1,171.5,123.3,101.9,111.9,132.3,153.6,208.3,135.2,1595.6
"192","Valdobbiadene - Bigolino","1733368","5085364",79.9,82.1,89.6,127.1,168.1,131.5,109.1,131.9,130.5,141.9,182.8,107.8,1482.3
"193","Valeggio sul Mincio","1635662","5024463",48.8,60.1,50.2,75,89.5,76.7,61,73.5,82.3,92.6,105.9,66.7,882.3
